Order ID,Customer ID,Order date & time,Product,Order value (gross),Order value (net),Discount applied (₹),Discount applied (%),Payment mode,Shipping city,Pincode,First order vs repeat,Channel source (last touch),Delivered / Returned / RTO,order_rank,Corrected order type
ORD-20220103-000041,CUST-0001016,2022-01-03 14:29:00,Single item,1908,1575,333,17.5,COD,Visakhapatnam,487713,First,Meta,Delivered,1.0,First
ORD-20220103-000042,CUST-0011430,2022-01-03 23:48:00,Mixed Cart,2188,1799,389,17.8,UPI,Chandigarh,454626,First,Meta,Delivered,1.0,First
ORD-20220103-000043,CUST-0003731,2022-01-03 11:23:00,2-item cart,1800,1477,323,18.0,Card,Ranchi,395038,First,Influencer,Delivered,1.0,First
ORD-20220103-000044,CUST-0026658,2022-01-03 20:56:00,Mixed Cart,2249,1809,441,19.6,Card,Mumbai,277139,First,Organic Instagram,Delivered,1.0,First
ORD-20220103-000045,CUST-0025532,2022-01-03 20:28:00,2-item cart,2954,2269,685,23.2,UPI,Mumbai,827713,First,Influencer,Delivered,1.0,First
ORD-20220103-000046,CUST-0001507,2022-01-03 17:07:00,Mixed Cart,2063,1613,450,21.8,UPI,Chandigarh,122961,First,Influencer,Delivered,1.0,First
ORD-20220103-000047,CUST-0021950,2022-01-03 21:36:00,Single item,1954,1580,374,19.1,COD,Jaipur,831674,First,Meta,Delivered,1.0,First
ORD-20220103-000048,CUST-0012612,2022-01-03 17:22:00,2-item cart,2182,1569,612,28.1,UPI,Bhubaneswar,752687,First,Google,Returned,1.0,First
ORD-20220103-000049,CUST-0010307,2022-01-03 23:31:00,2-item cart,2693,1885,808,30.0,Card,Delhi,401669,First,Meta,Delivered,1.0,First
ORD-20220103-000050,CUST-0026256,2022-01-03 23:15:00,Mixed Cart,2451,1730,721,29.4,Card,Mumbai,632670,First,Meta,Delivered,1.0,First
ORD-20220103-000051,CUST-0018257,2022-01-03 10:06:00,Mixed Cart,2643,2236,407,15.4,Card,Bhubaneswar,743554,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220103-000052,CUST-0011170,2022-01-03 13:41:00,Mixed Cart,2122,1717,405,19.1,UPI,Mumbai,343747,First,Meta,Delivered,1.0,First
ORD-20220103-000053,CUST-0014829,2022-01-03 17:45:00,2-item cart,2358,1996,362,15.4,UPI,Noida,342519,First,Meta,Delivered,1.0,First
ORD-20220103-000054,CUST-0001501,2022-01-03 18:33:00,2-item cart,1845,1445,400,21.7,Wallet,Ahmedabad,539089,First,Google,Returned,1.0,First
ORD-20220103-000055,CUST-0023488,2022-01-03 13:29:00,2-item cart,2545,1996,549,21.6,UPI,Noida,158760,First,Instagram DM,Delivered,1.0,First
ORD-20220103-000056,CUST-0004412,2022-01-03 17:42:00,Mixed Cart,2323,1920,403,17.3,NetBanking,Mumbai,160932,First,Meta,Delivered,1.0,First
ORD-20220103-000057,CUST-0013884,2022-01-03 22:58:00,Mixed Cart,1800,1563,237,13.2,UPI,Patna,218585,First,Google,Delivered,1.0,First
ORD-20220104-000058,CUST-0024982,2022-01-04 16:26:00,2-item cart,2815,2257,558,19.8,UPI,Chennai,469514,First,Offline (Friends/Family),Returned,1.0,First
ORD-20220104-000059,CUST-0009795,2022-01-04 19:44:00,Single item,2084,1811,273,13.1,COD,Lucknow,439160,First,Email/SMS,Delivered,1.0,First
ORD-20220104-000060,CUST-0011315,2022-01-04 13:39:00,Mixed Cart,2493,1957,536,21.5,Wallet,Pune,791665,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220104-000061,CUST-0018425,2022-01-04 15:45:00,Mixed Cart,3139,2231,908,28.9,Card,Indore,809566,First,Influencer,Delivered,1.0,First
ORD-20220104-000062,CUST-0000419,2022-01-04 14:56:00,Single item,2265,2039,226,10.0,Card,Mumbai,262387,First,Meta,Returned,1.0,First
ORD-20220104-000063,CUST-0013052,2022-01-04 14:43:00,Mixed Cart,2964,2215,749,25.3,Card,Bengaluru,677461,First,Influencer,Returned,1.0,First
ORD-20220104-000064,CUST-0021205,2022-01-04 21:35:00,2-item cart,2437,1966,470,19.3,Card,Delhi,411611,First,Meta,Delivered,1.0,First
ORD-20220104-000065,CUST-0001763,2022-01-04 22:43:00,Single item,2002,1765,237,11.8,UPI,Delhi,760707,First,Organic Instagram,Delivered,1.0,First
ORD-20220104-000066,CUST-0024744,2022-01-04 20:45:00,Single item,2239,1602,637,28.5,Card,Noida,316013,First,Email/SMS,Returned,1.0,First
ORD-20220105-000067,CUST-0024088,2022-01-05 20:04:00,2-item cart,1877,1655,223,11.9,Card,Hyderabad,559324,First,Meta,Returned,1.0,First
ORD-20220105-000068,CUST-0005073,2022-01-05 10:21:00,Mixed Cart,2293,1848,445,19.4,UPI,Ludhiana,735875,First,Email/SMS,Delivered,1.0,First
ORD-20220105-000069,CUST-0011734,2022-01-05 14:31:00,Mixed Cart,2511,2017,494,19.7,UPI,Vadodara,660917,First,Meta,RTO,1.0,First
ORD-20220105-000070,CUST-0003013,2022-01-05 12:26:00,Mixed Cart,2354,1804,549,23.3,UPI,Nashik,805557,First,Meta,Returned,1.0,First
ORD-20220105-000071,CUST-0021277,2022-01-05 18:30:00,Single item,2029,1826,203,10.0,UPI,Coimbatore,577316,First,Google,Delivered,1.0,First
ORD-20220105-000072,CUST-0026091,2022-01-05 10:43:00,2-item cart,1894,1613,281,14.8,NetBanking,Chennai,676480,First,Meta,Delivered,1.0,First
ORD-20220105-000073,CUST-0001437,2022-01-05 18:51:00,Mixed Cart,2089,1812,277,13.3,UPI,Chandigarh,445873,First,Email/SMS,Returned,1.0,First
ORD-20220105-000074,CUST-0022159,2022-01-05 18:00:00,Mixed Cart,1800,1358,442,24.5,Card,Delhi,828700,First,Meta,Delivered,1.0,First
ORD-20220105-000075,CUST-0002364,2022-01-05 21:49:00,Single item,1910,1684,226,11.8,COD,Pune,591533,First,Meta,RTO,1.0,First
ORD-20220106-000076,CUST-0021757,2022-01-06 22:16:00,2-item cart,1805,1565,240,13.3,UPI,Delhi,516882,First,Meta,Returned,1.0,First
ORD-20220106-000077,CUST-0025199,2022-01-06 20:07:00,Mixed Cart,1895,1655,241,12.7,Card,Noida,724055,First,Organic Instagram,Delivered,1.0,First
ORD-20220106-000078,CUST-0019876,2022-01-06 11:18:00,Single item,2490,1960,529,21.3,UPI,Noida,568937,First,Influencer,RTO,1.0,First
ORD-20220106-000079,CUST-0026109,2022-01-06 18:14:00,Mixed Cart,2391,1799,592,24.8,COD,Lucknow,774846,First,Influencer,Delivered,1.0,First
ORD-20220106-000080,CUST-0018189,2022-01-06 20:23:00,2-item cart,1800,1350,450,25.0,UPI,Mumbai,710539,First,Google,Delivered,1.0,First
ORD-20220106-000081,CUST-0011268,2022-01-06 13:47:00,2-item cart,2261,1956,305,13.5,UPI,Kanpur,647451,First,Meta,Delivered,1.0,First
ORD-20220106-000082,CUST-0018590,2022-01-06 13:07:00,Single item,1800,1420,380,21.1,COD,Visakhapatnam,685513,First,Google,Returned,1.0,First
ORD-20220106-000083,CUST-0015965,2022-01-06 14:06:00,Single item,2467,1938,529,21.4,NetBanking,Hyderabad,813905,First,Meta,Delivered,1.0,First
ORD-20220106-000084,CUST-0021608,2022-01-06 15:31:00,Single item,2251,1990,261,11.6,UPI,Indore,703025,First,Influencer,Delivered,1.0,First
ORD-20220106-000085,CUST-0023338,2022-01-06 10:20:00,2-item cart,2077,1869,208,10.0,COD,Kolkata,486949,First,Influencer,Delivered,1.0,First
ORD-20220107-000086,CUST-0018078,2022-01-07 17:22:00,Mixed Cart,1906,1613,293,15.4,UPI,Chandigarh,195956,First,Organic Instagram,Returned,1.0,First
ORD-20220107-000087,CUST-0002506,2022-01-07 13:16:00,Mixed Cart,1800,1478,322,17.9,COD,Nashik,641816,First,Influencer,Delivered,1.0,First
ORD-20220107-000088,CUST-0017809,2022-01-07 13:58:00,Mixed Cart,2081,1581,500,24.0,Wallet,Lucknow,795673,First,Meta,Returned,1.0,First
ORD-20220107-000089,CUST-0012198,2022-01-07 21:54:00,Mixed Cart,2295,2010,284,12.4,Card,Chennai,636561,First,Meta,Delivered,1.0,First
ORD-20220107-000090,CUST-0014622,2022-01-07 20:10:00,2-item cart,1880,1692,187,10.0,UPI,Indore,703298,First,Email/SMS,Delivered,1.0,First
ORD-20220107-000091,CUST-0007594,2022-01-07 15:02:00,2-item cart,2252,1893,359,16.0,UPI,Hyderabad,154888,First,Google,Delivered,1.0,First
ORD-20220107-000092,CUST-0001308,2022-01-07 17:58:00,Mixed Cart,2544,2123,422,16.6,NetBanking,Bengaluru,656700,First,Meta,Delivered,1.0,First
ORD-20220107-000093,CUST-0012404,2022-01-07 18:36:00,Mixed Cart,1800,1408,392,21.8,UPI,Chandigarh,191619,First,Meta,Delivered,1.0,First
ORD-20220107-000094,CUST-0015954,2022-01-07 16:22:00,Single item,2163,1748,415,19.2,COD,Nashik,116919,First,Meta,Returned,1.0,First
ORD-20220107-000095,CUST-0012419,2022-01-07 18:41:00,Single item,1948,1417,531,27.3,UPI,Surat,234079,First,Meta,Returned,1.0,First
ORD-20220107-000096,CUST-0019360,2022-01-07 17:43:00,Single item,2682,2077,605,22.6,UPI,Bhubaneswar,133537,First,Meta,Delivered,1.0,First
ORD-20220107-000097,CUST-0004813,2022-01-07 20:32:00,Mixed Cart,2043,1763,280,13.7,UPI,Delhi,298784,First,Meta,Delivered,1.0,First
ORD-20220107-000098,CUST-0026913,2022-01-07 10:56:00,Single item,2198,1871,327,14.9,UPI,Mumbai,581024,First,Meta,Delivered,1.0,First
ORD-20220107-000099,CUST-0011882,2022-01-07 23:26:00,2-item cart,1936,1608,328,17.0,COD,Delhi,801692,First,Meta,Delivered,1.0,First
ORD-20220107-000100,CUST-0012631,2022-01-07 19:37:00,Single item,2142,1736,406,19.0,UPI,Mumbai,658103,First,Google,Delivered,1.0,First
ORD-20220107-000101,CUST-0020145,2022-01-07 19:06:00,Single item,1800,1350,450,25.0,Card,Mysuru,667245,First,Meta,Delivered,1.0,First
ORD-20220107-000102,CUST-0019544,2022-01-07 19:34:00,Single item,1800,1404,396,22.0,Card,Kolkata,551120,First,Meta,Delivered,1.0,First
ORD-20220107-000103,CUST-0011486,2022-01-07 22:30:00,Single item,2381,2046,335,14.1,Card,Noida,714107,First,Meta,Delivered,1.0,First
ORD-20220107-000104,CUST-0017817,2022-01-07 23:05:00,Mixed Cart,2266,1936,330,14.5,Card,Delhi,117460,First,Meta,RTO,1.0,First
ORD-20220107-000105,CUST-0011871,2022-01-07 13:44:00,2-item cart,2106,1760,346,16.4,UPI,Kolkata,723806,First,Organic Instagram,Delivered,1.0,First
ORD-20220107-000106,CUST-0006675,2022-01-07 19:17:00,2-item cart,1800,1350,450,25.0,Card,Gurgaon,615905,First,Google,Delivered,1.0,First
ORD-20220108-000107,CUST-0024111,2022-01-08 19:22:00,Single item,2063,1856,206,10.0,UPI,Mysuru,234871,First,Meta,Delivered,1.0,First
ORD-20220108-000108,CUST-0011090,2022-01-08 11:13:00,Single item,2487,1830,656,26.4,COD,Surat,827818,First,Meta,Delivered,1.0,First
ORD-20220108-000109,CUST-0009756,2022-01-08 22:05:00,2-item cart,2117,1847,269,12.7,Card,Mumbai,342543,First,Google,Delivered,1.0,First
ORD-20220108-000110,CUST-0019578,2022-01-08 19:41:00,Mixed Cart,2154,1696,458,21.3,UPI,Gurgaon,293786,First,Meta,Returned,1.0,First
ORD-20220108-000111,CUST-0010979,2022-01-08 22:33:00,Mixed Cart,2247,1679,568,25.3,Card,Jaipur,352925,First,Influencer,Delivered,1.0,First
ORD-20220108-000112,CUST-0025549,2022-01-08 10:10:00,Single item,2412,1937,475,19.7,Card,Coimbatore,535147,First,Google,Delivered,1.0,First
ORD-20220108-000113,CUST-0018322,2022-01-08 11:35:00,2-item cart,1879,1584,295,15.7,Wallet,Hyderabad,399940,First,Email/SMS,Delivered,1.0,First
ORD-20220108-000114,CUST-0026345,2022-01-08 19:00:00,2-item cart,2152,1732,420,19.5,UPI,Mumbai,418546,First,Meta,Delivered,1.0,First
ORD-20220108-000115,CUST-0022748,2022-01-08 18:52:00,2-item cart,1800,1350,450,25.0,Card,Hyderabad,617123,First,Influencer,Delivered,1.0,First
ORD-20220108-000116,CUST-0000897,2022-01-08 20:29:00,Single item,1978,1439,539,27.2,Card,Delhi,511262,First,Email/SMS,Delivered,1.0,First
ORD-20220108-000117,CUST-0016925,2022-01-08 22:20:00,2-item cart,1917,1719,198,10.3,Card,Vadodara,386143,First,Meta,Delivered,1.0,First
ORD-20220108-000118,CUST-0015163,2022-01-08 11:35:00,Single item,1911,1372,539,28.2,UPI,Nashik,392147,First,Influencer,Delivered,1.0,First
ORD-20220108-000119,CUST-0007932,2022-01-08 17:47:00,Single item,3123,2186,937,30.0,COD,Delhi,322617,First,Influencer,Delivered,1.0,First
ORD-20220108-000120,CUST-0021740,2022-01-08 11:58:00,2-item cart,1800,1450,350,19.4,Card,Mumbai,677777,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220108-000121,CUST-0009003,2022-01-08 17:57:00,Single item,1966,1554,412,21.0,Card,Dehradun,645963,First,Meta,Delivered,1.0,First
ORD-20220108-000122,CUST-0017720,2022-01-08 18:51:00,Mixed Cart,1908,1554,353,18.5,UPI,Hyderabad,829679,First,Meta,Returned,1.0,First
ORD-20220108-000123,CUST-0025297,2022-01-08 17:20:00,2-item cart,2091,1882,209,10.0,UPI,Indore,451245,First,Organic Instagram,Returned,1.0,First
ORD-20220108-000124,CUST-0011243,2022-01-08 13:17:00,2-item cart,2285,1922,363,15.9,UPI,Jaipur,330760,First,Influencer,Delivered,1.0,First
ORD-20220109-000125,CUST-0018871,2022-01-09 14:28:00,Single item,1881,1539,342,18.2,Card,Patna,393063,First,Google,Delivered,1.0,First
ORD-20220109-000126,CUST-0011002,2022-01-09 12:51:00,Mixed Cart,1941,1648,294,15.1,UPI,Chennai,251004,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220109-000127,CUST-0018421,2022-01-09 15:50:00,2-item cart,1800,1350,450,25.0,COD,Mumbai,213783,First,Meta,Delivered,1.0,First
ORD-20220109-000128,CUST-0010967,2022-01-09 23:40:00,Single item,2161,1885,276,12.8,UPI,Hyderabad,694573,First,Instagram DM,RTO,1.0,First
ORD-20220109-000129,CUST-0006520,2022-01-09 15:55:00,Mixed Cart,1940,1611,330,17.0,Card,Chandigarh,674594,First,Influencer,Delivered,1.0,First
ORD-20220109-000130,CUST-0002570,2022-01-09 18:31:00,2-item cart,1895,1590,306,16.1,Card,Bengaluru,772399,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220109-000131,CUST-0002338,2022-01-09 16:40:00,Mixed Cart,1800,1416,384,21.3,UPI,Hyderabad,438710,First,Meta,Returned,1.0,First
ORD-20220109-000132,CUST-0011901,2022-01-09 16:17:00,Mixed Cart,2100,1671,429,20.4,COD,Jaipur,582162,First,Meta,RTO,1.0,First
ORD-20220110-000133,CUST-0022961,2022-01-10 13:42:00,Mixed Cart,1800,1350,450,25.0,COD,Delhi,526333,First,Meta,Delivered,1.0,First
ORD-20220110-000134,CUST-0025068,2022-01-10 10:01:00,2-item cart,2000,1800,200,10.0,NetBanking,Mumbai,758128,First,Google,Delivered,1.0,First
ORD-20220110-000135,CUST-0020529,2022-01-10 13:15:00,2-item cart,2299,1947,352,15.3,UPI,Lucknow,288896,First,Influencer,Delivered,1.0,First
ORD-20220110-000136,CUST-0017714,2022-01-10 23:30:00,Mixed Cart,2232,1974,258,11.6,Wallet,Lucknow,251679,First,Offline (Friends/Family),Returned,1.0,First
ORD-20220110-000137,CUST-0018481,2022-01-10 17:40:00,Single item,1950,1644,306,15.7,Card,Chandigarh,669714,First,Meta,Delivered,1.0,First
ORD-20220110-000138,CUST-0005103,2022-01-10 17:19:00,2-item cart,2812,2142,670,23.8,UPI,Mumbai,252922,First,Meta,RTO,1.0,First
ORD-20220110-000139,CUST-0005675,2022-01-10 22:30:00,2-item cart,2435,2111,324,13.3,COD,Surat,117569,First,Meta,Delivered,1.0,First
ORD-20220110-000140,CUST-0021168,2022-01-10 16:15:00,Mixed Cart,1800,1443,357,19.8,Card,Hyderabad,385755,First,Google,Delivered,1.0,First
ORD-20220110-000141,CUST-0021249,2022-01-10 22:44:00,Single item,2471,2194,277,11.2,COD,Patna,542962,First,Meta,Returned,1.0,First
ORD-20220110-000142,CUST-0022954,2022-01-10 20:29:00,Single item,2419,2074,344,14.2,Card,Delhi,130338,First,Email/SMS,RTO,1.0,First
ORD-20220110-000143,CUST-0023826,2022-01-10 14:17:00,2-item cart,2584,2210,374,14.5,UPI,Mumbai,125441,First,Meta,Returned,1.0,First
ORD-20220110-000144,CUST-0010822,2022-01-10 15:29:00,2-item cart,2013,1736,277,13.8,UPI,Noida,263185,First,Influencer,RTO,1.0,First
ORD-20220110-000145,CUST-0026780,2022-01-10 12:12:00,Single item,2494,1991,503,20.2,Card,Mumbai,371056,First,Email/SMS,Returned,1.0,First
ORD-20220110-000146,CUST-0017077,2022-01-10 13:29:00,Mixed Cart,1800,1524,276,15.3,Card,Delhi,518025,First,Meta,Returned,1.0,First
ORD-20220110-000147,CUST-0017070,2022-01-10 21:02:00,Single item,2530,2043,487,19.3,UPI,Ahmedabad,423329,First,Organic Instagram,Delivered,1.0,First
ORD-20220110-000148,CUST-0000494,2022-01-10 11:15:00,Mixed Cart,2356,1669,687,29.2,UPI,Bengaluru,235462,First,Meta,Delivered,1.0,First
ORD-20220111-000149,CUST-0005079,2022-01-11 22:44:00,Mixed Cart,2192,1765,427,19.5,UPI,Mumbai,275359,First,Influencer,Returned,1.0,First
ORD-20220111-000150,CUST-0022982,2022-01-11 10:03:00,2-item cart,1800,1476,324,18.0,Card,Mumbai,621541,First,Email/SMS,Delivered,1.0,First
ORD-20220111-000151,CUST-0000700,2022-01-11 22:57:00,Mixed Cart,2481,1958,523,21.1,Card,Hyderabad,251277,First,Meta,Delivered,1.0,First
ORD-20220111-000152,CUST-0018570,2022-01-11 14:34:00,Mixed Cart,1907,1512,395,20.7,UPI,Hyderabad,601148,First,Influencer,Delivered,1.0,First
ORD-20220111-000153,CUST-0013161,2022-01-11 12:04:00,Single item,2067,1580,487,23.6,COD,Lucknow,586137,First,Google,Delivered,1.0,First
ORD-20220111-000154,CUST-0020323,2022-01-11 10:39:00,Mixed Cart,2386,1993,393,16.5,UPI,Bhopal,800267,First,Offline (Friends/Family),Returned,1.0,First
ORD-20220111-000155,CUST-0018573,2022-01-11 17:49:00,Single item,2041,1613,428,21.0,UPI,Chandigarh,225831,First,Google,RTO,1.0,First
ORD-20220111-000156,CUST-0018086,2022-01-11 12:55:00,Mixed Cart,2026,1720,306,15.1,UPI,Mumbai,782926,First,Google,Delivered,1.0,First
ORD-20220111-000157,CUST-0019856,2022-01-11 19:16:00,2-item cart,2102,1794,308,14.6,COD,Mumbai,328878,First,Email/SMS,Delivered,1.0,First
ORD-20220111-000158,CUST-0024363,2022-01-11 22:40:00,Mixed Cart,1970,1523,447,22.7,Wallet,Chennai,496997,First,Meta,Delivered,1.0,First
ORD-20220111-000159,CUST-0002554,2022-01-11 10:46:00,Single item,1800,1350,450,25.0,NetBanking,Ranchi,211837,First,Meta,Delivered,1.0,First
ORD-20220111-000160,CUST-0005863,2022-01-11 18:42:00,Mixed Cart,2405,1877,528,21.9,Card,Indore,220640,First,Google,Delivered,1.0,First
ORD-20220111-000161,CUST-0001966,2022-01-11 20:27:00,2-item cart,2638,1846,792,30.0,UPI,Chennai,463908,First,Google,Delivered,1.0,First
ORD-20220111-000162,CUST-0013512,2022-01-11 15:35:00,Mixed Cart,1800,1350,450,25.0,COD,Kolkata,449163,First,Google,Returned,1.0,First
ORD-20220111-000163,CUST-0014664,2022-01-11 21:16:00,2-item cart,2400,1832,567,23.6,NetBanking,Mumbai,146347,First,Offline (Friends/Family),Delivered,1.0,First
ORD-20220111-000164,CUST-0019534,2022-01-11 10:19:00,Mixed Cart,2331,1876,455,19.5,UPI,Bhubaneswar,833223,First,Organic Instagram,Delivered,1.0,First
ORD-20220111-000165,CUST-0013025,2022-01-11 19:09:00,Mixed Cart,2340,1638,702,30.0,UPI,Bengaluru,720435,First,Meta,Returned,1.0,First
ORD-20220112-000166,CUST-0017808,2022-01-12 16:36:00,Single item,1994,1583,410,20.6,COD,Gurgaon,291302,First,Organic Instagram,Delivered,1.0,First
ORD-20220112-000167,CUST-0000173,2022-01-12 19:41:00,2-item cart,1964,1718,246,12.5,Card,Mumbai,168640,First,Instagram DM,Delivered,1.0,First
ORD-20220112-000168,CUST-0001191,2022-01-12 16:59:00,Single item,2010,1809,201,10.0,UPI,Chandigarh,741560,First,Instagram DM,Delivered,1.0,First
ORD-20220112-000169,CUST-0018512,2022-01-12 14:33:00,2-item cart,1800,1350,450,25.0,UPI,Jaipur,341523,First,Influencer,Delivered,1.0,First
ORD-20220112-000170,CUST-0007278,2022-01-12 22:38:00,Single item,1800,1427,373,20.7,Card,Gurgaon,265203,First,Meta,Delivered,1.0,First
ORD-20220112-000171,CUST-0008367,2022-01-12 18:25:00,Mixed Cart,2221,1863,358,16.1,Card,Vadodara,251423,First,Meta,Delivered,1.0,First
